"","X","X1","X2","X3","X4","X5","X6","X7","X8","mean"
"2","2012-04-12 17:15:00",5.925,6.171,6.03,5.94,5.955,6.65,6.03,6.699,6.175
"6","2012-04-18 12:10:00",3.752,3.984,4.02,4.159,3.97,4.03,4.02,3.857,3.974
"5","2012-04-25 13:25:00",4.74,5.174,5.026,5.544,5.161,5.441,5.428,4.872,5.17325
"61","2012-04-26 17:50:00",3.95,3.783,4.02,3.96,3.97,4.03,4.02,3.451,3.898
"62","2012-05-07 23:45:00",3.753,4.177,3.818,3.96,3.781,4.03,4.02,4.06,3.949875
"7","2012-05-09 19:50:00",2.963,2.983,3.014,2.969,2.985,3.224,3.016,2.842,2.9995
"12","2012-06-15 04:55:00",3.95,4.378,4.22,4.356,3.97,4.231,4.02,3.857,4.12275
"21","2012-06-22 23:00:00",5.924,5.178,4.626,4.951,4.963,4.232,5.026,4.263,4.895375
"22","2012-06-30 18:30:00",5.925,6.368,6.23,6.137,5.955,6.045,6.23,6.09,6.1225
"3","2012-07-05 19:45:00",6.122,7.365,8.644,8.119,7.94,7.859,8.042,7.308,7.674875
"51","2012-07-06 09:50:00",12.246,13.335,12.864,13.068,13.299,13.098,13.064,10.962,12.742
"4","2012-07-06 16:20:00",4.345,4.378,4.02,4.157,4.565,4.836,4.622,4.06,4.372875
"23","2012-07-07 19:40:00",21.33,21.492,20.1,20.393,20.247,22.165,21.104,21.518,21.043625
"31","2012-07-19 04:10:00",8.098,9.154,9.85,9.108,9.33,9.672,9.446,8.323,9.122625
"32","2012-08-15 16:55:00",16.985,19.506,19.698,19.006,19.254,18.136,18.894,18.473,18.744
"13","2013-05-15 03:00:00",4.8,5.174,4.824,4.752,5.161,4.961,5.174,4.669,4.939375
"24","2013-07-23 06:55:00",11.909,12.338,12.664,12.672,12.505,12.307,12.332,13.601,12.541
"15","2013-07-28 04:25:00",16.078,15.522,14.674,15.446,15.086,13.698,14.518,14.413,14.929375
"25","2013-07-29 18:15:00",10.52,10.746,11.056,11.484,11.314,10.519,10.348,10.556,10.817875
